english,hindi,polarity
accomplished,पूरा हुआ,positive
accomplishments,उपलब्धियों,positive
accurate,सटीक,positive
accurately,यथासंभव,positive
achievements,उपलब्धियाँ,positive
acumen,कौशल,positive
admirable,प्रशंसनीय,positive
admirer,प्रशंसक,positive
adore,प्यार करता हूँ,positive
advanced,उन्नत,positive
advocates,हिन्दुत्व की,positive
affinity,संबंध,positive
affirmative,सकारात्मक,positive
affordable,किफायती,positive
agile,एजाइल,positive
agility,की फुर्ती,positive
amazed,हैरान,positive
amazing,अद्भुत,positive
angel,परी,positive
angelic,ऐंजेलिक,positive
appealing,ऐसे मोहक,positive
appreciate,की सराहना करते हैं,positive
appreciated,सराहना करते हैं,positive
appropriate,उपयुक्त,positive
assurances,आश्वासन की,positive
assuring,सुनिश्चित करने वाले,positive
astounding,आश्चर्यजनक रूप से प्रभावशाली,positive
auspicious,बनाते हैं,positive
awarded,से सम्मानित,positive
awe,कर देंगें,positive
awesome,बेहतरीन,positive
backbone,मेरुदंड होता है,positive
balanced,संतुलित,positive
bargain,सौदा,positive
beautifully,खूबसूरती से,positive
beautify,शोभा बढ़ाए,positive
beneficial,फायदेमंद,positive
bonus,बोनस,positive
bonuses,बोनस,positive
boom,बूम,positive
booming,रहा,positive
boost,को बढ़ावा देने के लिए,positive
brainy,जानिए तेज दिमाग,positive
breeze,मंद हवा,positive
bright,चमकीले मेल खाते परिधानों से करें,positive
brighten,चमकाने,positive
brilliance,ब्रिलिएंस,positive
brilliant,चमकदार माणिक जैसा,positive
brisk,तेज़ी से,positive
capability,क्षमता,positive
celebrate,का उत्सव मना रहे हैं,positive
celebrated,मनाया,positive
champion,चैंपियन,positive
charisma,आकर्षण है,positive
charismatic,करिश्माई महिलाओं,positive
cheaper,सस्ता,positive
cheapest,सस्ता,positive
cheerful,खूबसूरत,positive
chic,फैशनेबल,positive
clarity,स्पष्टता,positive
clean,साफ,positive
cleaner,क्लीनर,positive
clear,स्पष्ट,positive
cleared,मिट,positive
clearly,स्पष्ट रूप से,positive
colorful,रंगीन तरीके से तैयार किया गया है,positive
compassion,करुणा कठोर मेरा,positive
competitive,प्रतिस्पर्धी,positive
compliant,अनुरूप,positive
concise,संक्षिप्त,positive
confidence,आत्मविश्वास,positive
consistent,संगत,positive
consistently,लगातार,positive
constructive,रचनात्मक,positive
